n_layers,n_params,repeat,fold,r_train_log,r_test_log,RMSE_train_log,RMSE_test_log,R2_test_log,r_train_z,r_test_z,RMSE_train_z,RMSE_test_z,R2_test_z,nh_viol_train,nh_viol_test,r_nh_pred_train,r_nh_pred_test
1,42,2,4,0.6388875906117888,0.7027455479604995,0.14233355035943307,0.1415643565337466,0.34786023484451933,0.6561644117389701,0.6698016990155188,1.0759937748016393,1.0485064833863307,0.32201327281762027,0.31348209447810454,0.30434782608695654,0.5521421662698989,0.5582874822008159
1,42,2,5,0.6253405146789159,0.5679407876140172,0.14299062785705666,0.16353000348414107,0.24588555808244372,0.6216806844517496,0.7195429571601614,1.0594510923231926,1.4590368474330928,0.2545887876305759,0.3355499729077385,0.2450592885375494,0.4929419647682329,0.7116087457874477
1,42,2,6,0.6435938832485012,0.4911122280224326,0.14227590935049586,0.15182478970440508,0.1749280385701243,0.6594981281176114,0.5236333017018451,1.0838942886906642,0.9736653425064661,0.22938111750495904,0.31424669560552115,0.3333333333333333,0.5458779719196668,0.5080022501631655
1,42,2,7,0.6448998028061212,0.6605604756897391,0.14136743724469983,0.13892103876630316,0.29328597830463077,0.6579791436177036,0.6420348031328257,1.0616512818177521,1.2561037364465104,0.1716964291748554,0.35194849534214506,0.2987012987012987,0.45847477966791095,0.5369567580077343
1,42,2,8,0.6524890606825747,0.6907926292506809,0.14181429499457315,0.15719774064947084,0.35752264536358846,0.6703175840148813,0.6623482481943552,1.0902842378598128,1.2211495143756366,0.24209849242005066,0.33468272935667953,0.23376623376623376,0.4967320229720354,0.7016553514670988
1,42,2,9,0.6440198346214006,0.4501651063453404,0.14266740667214436,0.1422105166682524,0.07689661674020043,0.6648523285980568,0.4557280984028475,1.0691917460378808,1.2648305382997505,-0.01366865108258497,0.32122128469004535,0.3116883116883117,0.5396247503164423,0.4788736371135778
1,42,2,10,0.6200184236631876,0.7259142635037289,0.14498789475165072,0.1262079837743822,0.4117840726836717,0.6329518458359504,0.7550472792276595,1.1098496758365486,0.8629827128919855,0.3927967077088107,0.310930107789104,0.4025974025974026,0.5578836824902514,0.41738990308327817
1,42,3,1,0.6140608415269493,0.6932080996766726,0.14030567756739498,0.18446005984291333,0.30673107886624407,0.6201835854847738,0.7595064992292894,1.0151929461511269,1.7975723495691598,0.18199092677925255,0.318703512142259,0.36363636363636365,0.5173971050166184,0.5404672886382031
1,42,3,2,0.6055082794567066,0.49842156916801084,0.1495350211959895,0.1494523538761825,0.12564417763752744,0.6298043883799282,0.5106176888752333,1.139444857559101,1.152875627240295,0.0005060146949310562,0.29505935668193684,0.2648221343873518,0.5892952835257096,0.6478143359388839
1,42,3,3,0.6403419112564016,0.4663137872544853,0.14641861582282686,0.13904524009502886,0.18988879894029764,0.6606560919187272,0.4241445229532732,1.1097887729823934,1.073441450401687,0.11114845231761405,0.34136249445840106,0.32806324110671936,0.4842394293066378,0.501176572156738
